NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"businessinfinity","Service Bus Namespace","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.ServiceBus/namespaces/businessinfinity"
"BusinessInfinity","Function App","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Web/sites/BusinessInfinity"
"businessinfinitygrob3e0","Storage account","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Storage/storageAccounts/businessinfinitygrob3e0"
"BusinessInfinityWorkspace","Azure Machine Learning workspace","businessinfinity-resource-group","West US 3","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/businessinfinity-resource-group/providers/Microsoft.MachineLearningServices/workspaces/BusinessInfinityWorkspace"
"DefaultWorkspace-westus3","Log Analytics workspace","DefaultResourceGroup-westus3","West US 3","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/DefaultResourceGroup-westus3/providers/Microsoft.OperationalInsights/workspaces/DefaultWorkspace-westus3"
"EmailTrigger","Logic app","BusinessInfinity_group","North Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Logic/workflows/EmailTrigger"
"FLEX-ASISagaMCP-8048","App Service plan","asisagamcp","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/asisagamcp/providers/Microsoft.Web/serverFarms/FLEX-ASISagaMCP-8048"
"kv-aos-staging-erm2sr","Key vault","rg-aos-staging","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.KeyVault/vaults/kv-aos-staging-erm2sr"
"kv-legendsh681620385816","Key vault","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.KeyVault/vaults/kv-legendsh681620385816"
"legends","Azure AI project","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.MachineLearningServices/workspaces/legends"
"legends0624375111","Log Analytics workspace","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.OperationalInsights/workspaces/legends0624375111"
"legends0911765069","Application Insights","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Insights/components/legends0911765069"
"legends_hub","Azure AI hub","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.MachineLearningServices/workspaces/legends_hub"
"log-aos-staging","Log Analytics workspace","rg-aos-staging","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.OperationalInsights/workspaces/log-aos-staging"
"mi-copilot-coding-agent","Managed Identity","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.ManagedIdentity/userAssignedIdentities/mi-copilot-coding-agent"
"mi-copilot-coding-agent","Managed Identity","businessinfinity-resource-group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/businessinfinity-resource-group/providers/Microsoft.ManagedIdentity/userAssignedIdentities/mi-copilot-coding-agent"
"sb-aos-staging","Service Bus Namespace","rg-aos-staging","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.ServiceBus/namespaces/sb-aos-staging"
"staosstagingerm2srfd","Storage account","rg-aos-staging","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.Storage/storageAccounts/staosstagingerm2srfd"
"stlegendshub681620385816","Storage account","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Storage/storageAccounts/stlegendshub681620385816"
"workspace-asisagamcp","Log Analytics workspace","asisagamcp","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/asisagamcp/providers/Microsoft.OperationalInsights/workspaces/workspace-asisagamcp"
